week_start,dma_code,dma_name,primary_kpi,meta_spend,total_spend,eligible,region,population,period
2024-01-01,501,New York,215,727,2198,true,Northeast,7500000,pre
2024-01-01,803,Los Angeles,207,795,2413,true,West,5800000,pre
2024-01-01,602,Chicago,219,864,2629,true,Midwest,3500000,pre
2024-01-01,504,Philadelphia,231,932,2844,true,Northeast,3000000,pre
2024-01-01,511,Washington DC,263,1000,3060,true,Mid-Atlantic,2600000,pre
2024-01-01,505,Detroit,255,1069,3276,true,Midwest,1900000,pre
2024-01-01,506,Boston,267,1137,3491,true,Northeast,2500000,pre
2024-01-01,623,Dallas-Ft. Worth,279,1206,3707,false,South,2800000,pre
2024-01-08,501,New York,188,813,2470,true,Northeast,7500000,pre
2024-01-08,803,Los Angeles,200,882,2687,true,West,5800000,pre
2024-01-08,602,Chicago,212,951,2905,true,Midwest,3500000,pre
2024-01-08,504,Philadelphia,244,1020,3123,true,Northeast,3000000,pre
2024-01-08,511,Washington DC,236,1090,3342,true,Mid-Atlantic,2600000,pre
2024-01-08,505,Detroit,248,1159,3560,true,Midwest,1900000,pre
2024-01-08,506,Boston,260,1228,3777,true,Northeast,2500000,pre
2024-01-08,623,Dallas-Ft. Worth,292,1297,3995,false,South,2800000,pre
2024-01-15,501,New York,196,900,2743,true,Northeast,7500000,pre
2024-01-15,803,Los Angeles,208,969,2962,true,West,5800000,pre
2024-01-15,602,Chicago,240,1039,3182,true,Midwest,3500000,pre
2024-01-15,504,Philadelphia,232,1109,3403,true,Northeast,3000000,pre
2024-01-15,511,Washington DC,244,1179,3623,true,Mid-Atlantic,2600000,pre
2024-01-15,505,Detroit,256,1249,3843,true,Midwest,1900000,pre
2024-01-15,506,Boston,288,1319,4064,true,Northeast,2500000,pre
2024-01-15,623,Dallas-Ft. Worth,280,1388,4283,false,South,2800000,pre
2024-01-22,501,New York,194,986,3015,true,Northeast,7500000,pre
2024-01-22,803,Los Angeles,236,1056,3236,true,West,5800000,pre
2024-01-22,602,Chicago,218,1127,3459,true,Midwest,3500000,pre
2024-01-22,504,Philadelphia,240,1198,3682,true,Northeast,3000000,pre
2024-01-22,511,Washington DC,242,1268,3904,true,Mid-Atlantic,2600000,pre
2024-01-22,505,Detroit,284,1339,4127,true,Midwest,1900000,pre
2024-01-22,506,Boston,266,1409,4349,true,Northeast,2500000,pre
2024-01-22,623,Dallas-Ft. Worth,288,1480,4572,false,South,2800000,pre
2024-01-29,501,New York,232,1072,3287,true,Northeast,7500000,pre
2024-01-29,803,Los Angeles,224,1144,3512,true,West,5800000,pre
2024-01-29,602,Chicago,236,1215,3736,true,Midwest,3500000,pre
2024-01-29,504,Philadelphia,248,1286,3961,true,Northeast,3000000,pre
2024-01-29,511,Washington DC,280,1357,4185,true,Mid-Atlantic,2600000,pre
2024-01-29,505,Detroit,272,1429,4411,true,Midwest,1900000,pre
2024-01-29,506,Boston,284,1500,4635,true,Northeast,2500000,pre
