week_start,dma_code,dma_name,search_spend,meta_spend,youtube_spend,search_impressions,meta_impressions,youtube_impressions,paid_conversions,arr,promo_flag,holiday_flag,launch_flag,competitor_event_flag,region,population,eligible
2024-01-01,501,New York,800,727,671,36000,65430,80520,215,233500,1,1,0,0,Northeast,7500000,true
2024-01-01,803,Los Angeles,895,795,723,40275,71550,86760,207,226450,0,1,0,0,West,5800000,true
2024-01-01,602,Chicago,990,864,775,44550,77760,93000,219,237400,0,1,0,0,Midwest,3500000,true
2024-01-01,504,Philadelphia,1085,932,827,48825,83880,99240,231,248350,0,1,0,0,Northeast,3000000,true
2024-01-01,511,Washington DC,1180,1000,880,53100,90000,105600,263,277300,1,1,0,0,Mid-Atlantic,2600000,true
2024-01-01,505,Detroit,1275,1069,932,57375,96210,111840,255,270250,0,1,0,0,Midwest,1900000,true
2024-01-01,506,Boston,1370,1137,984,61650,102330,118080,267,281200,0,1,0,0,Northeast,2500000,true
2024-01-01,623,Dallas-Ft. Worth,1465,1206,1036,65925,108540,124320,279,292150,0,1,0,0,South,2800000,false
2024-01-08,501,New York,920,813,737,41400,73170,88440,188,209240,0,0,0,0,Northeast,7500000,true
2024-01-08,803,Los Angeles,1016,882,789,45720,79380,94680,200,220190,0,0,0,0,West,5800000,true
2024-01-08,602,Chicago,1112,951,842,50040,85590,101040,212,231140,0,0,0,0,Midwest,3500000,true
2024-01-08,504,Philadelphia,1208,1020,895,54360,91800,107400,244,260090,1,0,0,0,Northeast,3000000,true
2024-01-08,511,Washington DC,1304,1090,948,58680,98100,113760,236,253040,0,0,0,0,Mid-Atlantic,2600000,true
2024-01-08,505,Detroit,1400,1159,1001,63000,104310,120120,248,263990,0,0,0,0,Midwest,1900000,true
2024-01-08,506,Boston,1496,1228,1053,67320,110520,126360,260,274940,0,0,0,0,Northeast,2500000,true
2024-01-08,623,Dallas-Ft. Worth,1592,1297,1106,71640,116730,132720,292,303890,1,0,0,0,South,2800000,false
2024-01-15,501,New York,1040,900,803,46800,81000,96360,196,216480,0,0,0,0,Northeast,7500000,true
2024-01-15,803,Los Angeles,1137,969,856,51165,87210,102720,208,227430,0,0,0,0,West,5800000,true
2024-01-15,602,Chicago,1234,1039,909,55530,93510,109080,240,256380,1,0,0,0,Midwest,3500000,true
2024-01-15,504,Philadelphia,1331,1109,963,59895,99810,115560,232,249330,0,0,0,0,Northeast,3000000,true
2024-01-15,511,Washington DC,1428,1179,1016,64260,106110,121920,244,260280,0,0,0,0,Mid-Atlantic,2600000,true
