week_start,dma_code,dma_name,paid_conversions,arr
2024-01-01,501,New York,215,233500
2024-01-01,803,Los Angeles,207,226450
2024-01-01,602,Chicago,219,237400
2024-01-01,504,Philadelphia,231,248350
2024-01-01,511,Washington DC,263,277300
2024-01-01,505,Detroit,255,270250
2024-01-01,506,Boston,267,281200
2024-01-01,623,Dallas-Ft. Worth,279,292150
2024-01-08,501,New York,188,209240
2024-01-08,803,Los Angeles,200,220190
2024-01-08,602,Chicago,212,231140
2024-01-08,504,Philadelphia,244,260090
2024-01-08,511,Washington DC,236,253040
2024-01-08,505,Detroit,248,263990
2024-01-08,506,Boston,260,274940
2024-01-08,623,Dallas-Ft. Worth,292,303890
2024-01-15,501,New York,196,216480
2024-01-15,803,Los Angeles,208,227430
2024-01-15,602,Chicago,240,256380
2024-01-15,504,Philadelphia,232,249330
2024-01-15,511,Washington DC,244,260280
2024-01-15,505,Detroit,256,271230
2024-01-15,506,Boston,288,300180
2024-01-15,623,Dallas-Ft. Worth,280,293130
2024-01-22,501,New York,194,214720
2024-01-22,803,Los Angeles,236,252670
2024-01-22,602,Chicago,218,236620
2024-01-22,504,Philadelphia,240,256570
2024-01-22,511,Washington DC,242,258520
2024-01-22,505,Detroit,284,296470
2024-01-22,506,Boston,266,280420
2024-01-22,623,Dallas-Ft. Worth,288,300370
2024-01-29,501,New York,232,248960
2024-01-29,803,Los Angeles,224,241910
2024-01-29,602,Chicago,236,252860
2024-01-29,504,Philadelphia,248,263810
2024-01-29,511,Washington DC,280,292760
2024-01-29,505,Detroit,272,285710
2024-01-29,506,Boston,284,296660
2024-01-29,623,Dallas-Ft. Worth,296,307610
2024-02-05,501,New York,235,251700
2024-02-05,803,Los Angeles,247,262650
2024-02-05,602,Chicago,259,273600
2024-02-05,504,Philadelphia,291,302550
2024-02-05,511,Washington DC,283,295500
2024-02-05,505,Detroit,295,306450
2024-02-05,506,Boston,307,317400
2024-02-05,623,Dallas-Ft. Worth,339,346350
2024-02-12,501,New York,228,245440
2024-02-12,803,Los Angeles,240,256390
2024-02-12,602,Chicago,272,285340
2024-02-12,504,Philadelphia,264,278290
2024-02-12,511,Washington DC,276,289240
2024-02-12,505,Detroit,288,300190
2024-02-12,506,Boston,320,329140
2024-02-12,623,Dallas-Ft. Worth,312,322090
2024-02-19,501,New York,261,275180
2024-02-19,803,Los Angeles,293,304130
2024-02-19,602,Chicago,285,297080
2024-02-19,504,Philadelphia,297,308030
2024-02-19,511,Washington DC,309,318980
2024-02-19,505,Detroit,341,347930
2024-02-19,506,Boston,333,340880
2024-02-19,623,Dallas-Ft. Worth,345,351830
2024-02-26,501,New York,264,277920
2024-02-26,803,Los Angeles,256,270870
2024-02-26,602,Chicago,268,281820
2024-02-26,504,Philadelphia,280,292770
2024-02-26,511,Washington DC,312,321720
2024-02-26,505,Detroit,304,314670
2024-02-26,506,Boston,316,325620
2024-02-26,623,Dallas-Ft. Worth,328,336570
2024-03-04,501,New York,242,258160
2024-03-04,803,Los Angeles,264,278110
2024-03-04,602,Chicago,266,280060
2024-03-04,504,Philadelphia,308,318010
2024-03-04,511,Washington DC,290,301960
2024-03-04,505,Detroit,312,321910
2024-03-04,506,Boston,314,323860
2024-03-04,623,Dallas-Ft. Worth,356,361810
2024-03-11,501,New York,260,274400
2024-03-11,803,Los Angeles,272,285350
2024-03-11,602,Chicago,304,314300
2024-03-11,504,Philadelphia,296,307250
2024-03-11,511,Washington DC,308,318200
2024-03-11,505,Detroit,320,329150
2024-03-11,506,Boston,352,358100
2024-03-11,623,Dallas-Ft. Worth,344,351050
2024-03-18,501,New York,268,281640
2024-03-18,803,Los Angeles,300,310590
2024-03-18,602,Chicago,292,303540
2024-03-18,504,Philadelphia,304,314490
2024-03-18,511,Washington DC,316,325440
2024-03-18,505,Detroit,348,354390
2024-03-18,506,Boston,340,347340
2024-03-18,623,Dallas-Ft. Worth,352,358290
2024-03-25,501,New York,311,320380
2024-03-25,803,Los Angeles,303,313330
2024-03-25,602,Chicago,315,324280
2024-03-25,504,Philadelphia,327,335230
2024-03-25,511,Washington DC,359,364180
2024-03-25,505,Detroit,351,357130
2024-03-25,506,Boston,363,368080
2024-03-25,623,Dallas-Ft. Worth,375,379030
2024-04-01,501,New York,284,296120
2024-04-01,803,Los Angeles,296,307070
2024-04-01,602,Chicago,308,318020
2024-04-01,504,Philadelphia,340,346970
2024-04-01,511,Washington DC,332,339920
2024-04-01,505,Detroit,344,350870
2024-04-01,506,Boston,356,361820
2024-04-01,623,Dallas-Ft. Worth,388,390770
