week_start,dma_code,dma_name,channel,spend,impressions,clicks
2024-01-01,501,New York,Search,800,36000,2880
2024-01-01,501,New York,Meta,727,65430,2617
2024-01-01,501,New York,YouTube,671,80520,1610
2024-01-01,803,Los Angeles,Search,895,40275,3222
2024-01-01,803,Los Angeles,Meta,795,71550,2862
2024-01-01,803,Los Angeles,YouTube,723,86760,1735
2024-01-01,602,Chicago,Search,990,44550,3564
2024-01-01,602,Chicago,Meta,864,77760,3110
2024-01-01,602,Chicago,YouTube,775,93000,1860
2024-01-01,504,Philadelphia,Search,1085,48825,3906
2024-01-01,504,Philadelphia,Meta,932,83880,3355
2024-01-01,504,Philadelphia,YouTube,827,99240,1984
2024-01-01,511,Washington DC,Search,1180,53100,4248
2024-01-01,511,Washington DC,Meta,1000,90000,3600
2024-01-01,511,Washington DC,YouTube,880,105600,2112
2024-01-01,505,Detroit,Search,1275,57375,4590
2024-01-01,505,Detroit,Meta,1069,96210,3848
2024-01-01,505,Detroit,YouTube,932,111840,2236
2024-01-01,506,Boston,Search,1370,61650,4932
2024-01-01,506,Boston,Meta,1137,102330,4093
2024-01-01,506,Boston,YouTube,984,118080,2361
2024-01-01,623,Dallas-Ft. Worth,Search,1465,65925,5274
2024-01-01,623,Dallas-Ft. Worth,Meta,1206,108540,4341
2024-01-01,623,Dallas-Ft. Worth,YouTube,1036,124320,2486
2024-01-08,501,New York,Search,920,41400,3312
2024-01-08,501,New York,Meta,813,73170,2926
2024-01-08,501,New York,YouTube,737,88440,1768
2024-01-08,803,Los Angeles,Search,1016,45720,3657
2024-01-08,803,Los Angeles,Meta,882,79380,3175
2024-01-08,803,Los Angeles,YouTube,789,94680,1893
2024-01-08,602,Chicago,Search,1112,50040,4003
2024-01-08,602,Chicago,Meta,951,85590,3423
2024-01-08,602,Chicago,YouTube,842,101040,2020
2024-01-08,504,Philadelphia,Search,1208,54360,4348
2024-01-08,504,Philadelphia,Meta,1020,91800,3672
2024-01-08,504,Philadelphia,YouTube,895,107400,2148
2024-01-08,511,Washington DC,Search,1304,58680,4694
2024-01-08,511,Washington DC,Meta,1090,98100,3924
2024-01-08,511,Washington DC,YouTube,948,113760,2275
2024-01-08,505,Detroit,Search,1400,63000,5040
2024-01-08,505,Detroit,Meta,1159,104310,4172
2024-01-08,505,Detroit,YouTube,1001,120120,2402
2024-01-08,506,Boston,Search,1496,67320,5385
2024-01-08,506,Boston,Meta,1228,110520,4420
2024-01-08,506,Boston,YouTube,1053,126360,2527
2024-01-08,623,Dallas-Ft. Worth,Search,1592,71640,5731
2024-01-08,623,Dallas-Ft. Worth,Meta,1297,116730,4669
2024-01-08,623,Dallas-Ft. Worth,YouTube,1106,132720,2654
2024-01-15,501,New York,Search,1040,46800,3744
2024-01-15,501,New York,Meta,900,81000,3240
2024-01-15,501,New York,YouTube,803,96360,1927
2024-01-15,803,Los Angeles,Search,1137,51165,4093
2024-01-15,803,Los Angeles,Meta,969,87210,3488
2024-01-15,803,Los Angeles,YouTube,856,102720,2054
2024-01-15,602,Chicago,Search,1234,55530,4442
2024-01-15,602,Chicago,Meta,1039,93510,3740
2024-01-15,602,Chicago,YouTube,909,109080,2181
2024-01-15,504,Philadelphia,Search,1331,59895,4791
2024-01-15,504,Philadelphia,Meta,1109,99810,3992
2024-01-15,504,Philadelphia,YouTube,963,115560,2311
2024-01-15,511,Washington DC,Search,1428,64260,5140
2024-01-15,511,Washington DC,Meta,1179,106110,4244
2024-01-15,511,Washington DC,YouTube,1016,121920,2438
2024-01-15,505,Detroit,Search,1525,68625,5490
2024-01-15,505,Detroit,Meta,1249,112410,4496
2024-01-15,505,Detroit,YouTube,1069,128280,2565
2024-01-15,506,Boston,Search,1622,72990,5839
2024-01-15,506,Boston,Meta,1319,118710,4748
2024-01-15,506,Boston,YouTube,1123,134760,2695
2024-01-15,623,Dallas-Ft. Worth,Search,1719,77355,6188
2024-01-15,623,Dallas-Ft. Worth,Meta,1388,124920,4996
2024-01-15,623,Dallas-Ft. Worth,YouTube,1176,141120,2822
2024-01-22,501,New York,Search,1160,52200,4176
2024-01-22,501,New York,Meta,986,88740,3549
2024-01-22,501,New York,YouTube,869,104280,2085
2024-01-22,803,Los Angeles,Search,1258,56610,4528
2024-01-22,803,Los Angeles,Meta,1056,95040,3801
2024-01-22,803,Los Angeles,YouTube,922,110640,2212
2024-01-22,602,Chicago,Search,1356,61020,4881
2024-01-22,602,Chicago,Meta,1127,101430,4057
2024-01-22,602,Chicago,YouTube,976,117120,2342
2024-01-22,504,Philadelphia,Search,1454,65430,5234
2024-01-22,504,Philadelphia,Meta,1198,107820,4312
2024-01-22,504,Philadelphia,YouTube,1030,123600,2472
2024-01-22,511,Washington DC,Search,1552,69840,5587
2024-01-22,511,Washington DC,Meta,1268,114120,4564
2024-01-22,511,Washington DC,YouTube,1084,130080,2601
2024-01-22,505,Detroit,Search,1650,74250,5940
2024-01-22,505,Detroit,Meta,1339,120510,4820
2024-01-22,505,Detroit,YouTube,1138,136560,2731
2024-01-22,506,Boston,Search,1748,78660,6292
2024-01-22,506,Boston,Meta,1409,126810,5072
2024-01-22,506,Boston,YouTube,1192,143040,2860
2024-01-22,623,Dallas-Ft. Worth,Search,1846,83070,6645
2024-01-22,623,Dallas-Ft. Worth,Meta,1480,133200,5328
2024-01-22,623,Dallas-Ft. Worth,YouTube,1246,149520,2990
2024-01-29,501,New York,Search,1280,57600,4608
2024-01-29,501,New York,Meta,1072,96480,3859
2024-01-29,501,New York,YouTube,935,112200,2244
2024-01-29,803,Los Angeles,Search,1379,62055,4964
2024-01-29,803,Los Angeles,Meta,1144,102960,4118
2024-01-29,803,Los Angeles,YouTube,989,118680,2373
2024-01-29,602,Chicago,Search,1478,66510,5320
2024-01-29,602,Chicago,Meta,1215,109350,4374
2024-01-29,602,Chicago,YouTube,1043,125160,2503
2024-01-29,504,Philadelphia,Search,1577,70965,5677
2024-01-29,504,Philadelphia,Meta,1286,115740,4629
2024-01-29,504,Philadelphia,YouTube,1098,131760,2635
2024-01-29,511,Washington DC,Search,1676,75420,6033
2024-01-29,511,Washington DC,Meta,1357,122130,4885
2024-01-29,511,Washington DC,YouTube,1152,138240,2764
2024-01-29,505,Detroit,Search,1775,79875,6390
2024-01-29,505,Detroit,Meta,1429,128610,5144
2024-01-29,505,Detroit,YouTube,1207,144840,2896
2024-01-29,506,Boston,Search,1874,84330,6746
2024-01-29,506,Boston,Meta,1500,135000,5400
2024-01-29,506,Boston,YouTube,1261,151320,3026
2024-01-29,623,Dallas-Ft. Worth,Search,1973,88785,7102
2024-01-29,623,Dallas-Ft. Worth,Meta,1571,141390,5655
2024-01-29,623,Dallas-Ft. Worth,YouTube,1316,157920,3158
2024-02-05,501,New York,Search,1400,63000,5040
2024-02-05,501,New York,Meta,1159,104310,4172
2024-02-05,501,New York,YouTube,1001,120120,2402
2024-02-05,803,Los Angeles,Search,1500,67500,5400
2024-02-05,803,Los Angeles,Meta,1231,110790,4431
2024-02-05,803,Los Angeles,YouTube,1056,126720,2534
2024-02-05,602,Chicago,Search,1600,72000,5760
2024-02-05,602,Chicago,Meta,1303,117270,4690
2024-02-05,602,Chicago,YouTube,1111,133320,2666
2024-02-05,504,Philadelphia,Search,1700,76500,6120
2024-02-05,504,Philadelphia,Meta,1375,123750,4950
2024-02-05,504,Philadelphia,YouTube,1166,139920,2798
2024-02-05,511,Washington DC,Search,1800,81000,6480
2024-02-05,511,Washington DC,Meta,1447,130230,5209
2024-02-05,511,Washington DC,YouTube,1221,146520,2930
2024-02-05,505,Detroit,Search,1900,85500,6840
2024-02-05,505,Detroit,Meta,1519,136710,5468
2024-02-05,505,Detroit,YouTube,1276,153120,3062
2024-02-05,506,Boston,Search,2000,90000,7200
2024-02-05,506,Boston,Meta,1591,143190,5727
2024-02-05,506,Boston,YouTube,1331,159720,3194
2024-02-05,623,Dallas-Ft. Worth,Search,2100,94500,7560
2024-02-05,623,Dallas-Ft. Worth,Meta,1663,149670,5986
2024-02-05,623,Dallas-Ft. Worth,YouTube,1386,166320,3326
2024-02-12,501,New York,Search,1520,68400,5472
2024-02-12,501,New York,Meta,1245,112050,4482
2024-02-12,501,New York,YouTube,1067,128040,2560
2024-02-12,803,Los Angeles,Search,1621,72945,5835
2024-02-12,803,Los Angeles,Meta,1318,118620,4744
2024-02-12,803,Los Angeles,YouTube,1122,134640,2692
2024-02-12,602,Chicago,Search,1722,77490,6199
2024-02-12,602,Chicago,Meta,1391,125190,5007
2024-02-12,602,Chicago,YouTube,1178,141360,2827
2024-02-12,504,Philadelphia,Search,1823,82035,6562
2024-02-12,504,Philadelphia,Meta,1463,131670,5266
2024-02-12,504,Philadelphia,YouTube,1233,147960,2959
2024-02-12,511,Washington DC,Search,1924,86580,6926
2024-02-12,511,Washington DC,Meta,1536,138240,5529
2024-02-12,511,Washington DC,YouTube,1289,154680,3093
2024-02-12,505,Detroit,Search,2025,91125,7290
2024-02-12,505,Detroit,Meta,1609,144810,5792
2024-02-12,505,Detroit,YouTube,1344,161280,3225
2024-02-12,506,Boston,Search,2126,95670,7653
2024-02-12,506,Boston,Meta,1681,151290,6051
2024-02-12,506,Boston,YouTube,1400,168000,3360
2024-02-12,623,Dallas-Ft. Worth,Search,2227,100215,8017
2024-02-12,623,Dallas-Ft. Worth,Meta,1754,157860,6314
2024-02-12,623,Dallas-Ft. Worth,YouTube,1455,174600,3492
2024-02-19,501,New York,Search,1640,73800,5904
2024-02-19,501,New York,Meta,1332,119880,4795
2024-02-19,501,New York,YouTube,1133,135960,2719
2024-02-19,803,Los Angeles,Search,1742,78390,6271
2024-02-19,803,Los Angeles,Meta,1405,126450,5058
2024-02-19,803,Los Angeles,YouTube,1189,142680,2853
2024-02-19,602,Chicago,Search,1844,82980,6638
2024-02-19,602,Chicago,Meta,1478,133020,5320
2024-02-19,602,Chicago,YouTube,1245,149400,2988
2024-02-19,504,Philadelphia,Search,1946,87570,7005
2024-02-19,504,Philadelphia,Meta,1552,139680,5587
2024-02-19,504,Philadelphia,YouTube,1301,156120,3122
2024-02-19,511,Washington DC,Search,2048,92160,7372
2024-02-19,511,Washington DC,Meta,1625,146250,5850
2024-02-19,511,Washington DC,YouTube,1357,162840,3256
2024-02-19,505,Detroit,Search,2150,96750,7740
2024-02-19,505,Detroit,Meta,1699,152910,6116
2024-02-19,505,Detroit,YouTube,1413,169560,3391
2024-02-19,506,Boston,Search,2252,101340,8107
2024-02-19,506,Boston,Meta,1772,159480,6379
2024-02-19,506,Boston,YouTube,1469,176280,3525
2024-02-19,623,Dallas-Ft. Worth,Search,2354,105930,8474
2024-02-19,623,Dallas-Ft. Worth,Meta,1846,166140,6645
2024-02-19,623,Dallas-Ft. Worth,YouTube,1525,183000,3660
2024-02-26,501,New York,Search,1760,79200,6336
2024-02-26,501,New York,Meta,1418,127620,5104
2024-02-26,501,New York,YouTube,1199,143880,2877
2024-02-26,803,Los Angeles,Search,1863,83835,6706
2024-02-26,803,Los Angeles,Meta,1492,134280,5371
2024-02-26,803,Los Angeles,YouTube,1255,150600,3012
2024-02-26,602,Chicago,Search,1966,88470,7077
2024-02-26,602,Chicago,Meta,1566,140940,5637
2024-02-26,602,Chicago,YouTube,1312,157440,3148
2024-02-26,504,Philadelphia,Search,2069,93105,7448
2024-02-26,504,Philadelphia,Meta,1640,147600,5904
2024-02-26,504,Philadelphia,YouTube,1368,164160,3283
2024-02-26,511,Washington DC,Search,2172,97740,7819
2024-02-26,511,Washington DC,Meta,1715,154350,6174
2024-02-26,511,Washington DC,YouTube,1425,171000,3420
2024-02-26,505,Detroit,Search,2275,102375,8190
2024-02-26,505,Detroit,Meta,1789,161010,6440
2024-02-26,505,Detroit,YouTube,1482,177840,3556
2024-02-26,506,Boston,Search,2378,107010,8560
2024-02-26,506,Boston,Meta,1863,167670,6706
2024-02-26,506,Boston,YouTube,1538,184560,3691
2024-02-26,623,Dallas-Ft. Worth,Search,2481,111645,8931
2024-02-26,623,Dallas-Ft. Worth,Meta,1937,174330,6973
2024-02-26,623,Dallas-Ft. Worth,YouTube,1595,191400,3828
2024-03-04,501,New York,Search,1880,84600,6768
2024-03-04,501,New York,Meta,1504,135360,5414
2024-03-04,501,New York,YouTube,1265,151800,3036
2024-03-04,803,Los Angeles,Search,1984,89280,7142
2024-03-04,803,Los Angeles,Meta,1579,142110,5684
2024-03-04,803,Los Angeles,YouTube,1322,158640,3172
2024-03-04,602,Chicago,Search,2088,93960,7516
2024-03-04,602,Chicago,Meta,1654,148860,5954
2024-03-04,602,Chicago,YouTube,1379,165480,3309
2024-03-04,504,Philadelphia,Search,2192,98640,7891
2024-03-04,504,Philadelphia,Meta,1729,155610,6224
2024-03-04,504,Philadelphia,YouTube,1436,172320,3446
2024-03-04,511,Washington DC,Search,2296,103320,8265
2024-03-04,511,Washington DC,Meta,1804,162360,6494
2024-03-04,511,Washington DC,YouTube,1493,179160,3583
2024-03-04,505,Detroit,Search,2400,108000,8640
2024-03-04,505,Detroit,Meta,1879,169110,6764
2024-03-04,505,Detroit,YouTube,1551,186120,3722
2024-03-04,506,Boston,Search,2504,112680,9014
2024-03-04,506,Boston,Meta,1954,175860,7034
2024-03-04,506,Boston,YouTube,1608,192960,3859
2024-03-04,623,Dallas-Ft. Worth,Search,2551,114795,9183
2024-03-04,623,Dallas-Ft. Worth,Meta,1987,178830,7153
2024-03-04,623,Dallas-Ft. Worth,YouTube,1634,196080,3921
